"","Destination.City","Origin.City","Airline.Status","Age","Gender","Price.Sensitivity","Year.of.First.Flight","Flights.Per.Year","Loyalty","Type.of.Travel","Total.Freq.Flyer.Accts","Shopping.Amount.at.Airport","Eating.and.Drinking.at.Airport","Class","Day.of.Month","Flight.date","Partner.Code","Partner.Name","Origin.State","Destination.State","Scheduled.Departure.Hour","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Flight.cancelled","Flight.time.in.minutes","Flight.Distance","Likelihood.to.recommend","olong","olat","dlong","dlat","freeText"
"5844","Lake Charles, LA","Houston, TX","Blue","<24","Female","2",2003,"13-25","<-0.75","Personal Travel","1+",90,150,"Eco",2,"3/2/14","EV","FlyFast Airways Inc.","Texas","Louisiana",15,"20 MINS TO 60 MINS","20 MINS TO 60 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-95.3935,29.7843,-93.2558,30.2447,NA
"5845","Miami, FL","San Juan, PR","Blue","71+","Male","2",2008,"6-12","<-0.75","Business travel","0",0,165,"Eco Plus",17,"3/17/14","AA","Paul Smith Airlines Inc.","Puerto Rico","Florida",7,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","0",-66.1162,18.2882,-80.2314,26.1756,NA
"5846","Redding, CA","San Francisco, CA","Blue","36-46","Female","2",2011,"13-25","0.059 to 0.3768","Business travel","1+",40,70,"Eco",26,"1/26/14","OO","Northwest Business Airlines Inc.","California","California",19,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-122.1585,37.6712,-122.3634,40.5822,NA
"5847","Orlando, FL","Atlanta, GA","Blue","47-58","Female","1",2012,"<6","0.3768+","Business travel","1",2,65,"Eco Plus",5,"1/5/14","FL","FlyHere Airways","Georgia","Florida",6,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","400 MILES TO 1000.0 MILES","1",-84.3319,33.8241,-81.4112,28.5844,NA
"5848","New Orleans, LA","New York, NY","Blue","47-58","Male","1",2005,"13-25","<-0.75","Business travel","0",0,72,"Eco Plus",20,"2/20/14","B6","OnlyJets Airlines Inc.","New York","Louisiana",20,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","1",-73.9702,40.7184,-90.1437,29.9547,NA
"5849","Rochester, NY","Washington, DC","Blue","36-46","Male","1",2004,"26-38","-0.451 to 0.0588","Business travel","1",0,25,"Eco",14,"1/14/14","EV","FlyFast Airways Inc.","Virginia","New York",12,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-77.1897,38.8974,-77.5682,43.1376,NA
"5850","Sioux Falls, SD","Chicago, IL","Blue","47-58","Male","1",2011,"26-38","-0.451 to 0.0588","Mileage tickets","0",20,50,"Eco",23,"3/23/14","EV","FlyFast Airways Inc.","Illinois","South Dakota",11,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-87.8954,41.8271,-96.7356,43.5335,NA
"5851","Seattle, WA","Santa Barbara, CA","Platinum","36-46","Female","1",2010,"6-12","<-0.75","Business travel","0",0,85,"Eco Plus",2,"2/2/14","OO","Northwest Business Airlines Inc.","California","Washington",19,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-119.7241,34.4275,-122.2747,47.4684,NA
"5852","New York, NY","San Francisco, CA","Silver","36-46","Male","1",2004,"26-38","-0.451 to 0.0588","Business travel","1+",0,195,"Eco",27,"1/27/14","DL","Sigma Airlines Inc.","California","New York",21,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","180+ Minutes","1000.0+ MILES","0",-122.1585,37.6712,-73.9702,40.7184,NA
"5853","Minneapolis, MN","Phoenix, AZ","Silver","47-58","Female","1",2011,"6-12","-0.451 to 0.0588","Business travel","0",85,30,"Eco Plus",5,"1/5/14","US","Southeast Airlines Co.","Arizona","Minnesota",13,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","1",-111.97,33.4941,-93.2798,44.9782,NA
"5854","Savannah, GA","Chicago, IL","Blue","25-35","Male","1",2003,"<6","0.3768+","Business travel","1+",25,70,"Eco",9,"3/9/14","EV","FlyFast Airways Inc.","Illinois","Georgia",19,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-87.8954,41.8271,-81.1517,32.0449,NA
"5855","Denver, CO","San Diego, CA","Blue","57-71","Female","1",2009,"6-12","-0.451 to 0.0588","Business travel","0",0,30,"Eco Plus",7,"3/7/14","F9","GoingNorth Airlines Inc.","California","Colorado",18,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-117.1288,32.9287,-104.9551,39.7108,NA
"5856","St. Louis, MO","Minneapolis, MN","Blue","36-46","Female","2",2008,"13-25","-0.451 to 0.0588","Business travel","0",210,180,"Eco",9,"3/9/14","DL","Sigma Airlines Inc.","Minnesota","Missouri",15,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","400 MILES TO 1000.0 MILES","0",-93.2798,44.9782,-90.3409,38.6307,NA
"5857","Houston, TX","Washington, DC","Silver","57-71","Male","1",2009,"38+","-0.451 to 0.0588","Personal Travel","0",0,120,"Eco",10,"1/10/14","OU","Oursin Airlines Inc.","Virginia","Texas",19,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","180+ Minutes","1000.0+ MILES","1",-77.1897,38.8974,-95.3935,29.7843,NA
"5858","Chicago, IL","San Francisco, CA","Silver","47-58","Female","1",2003,"13-25","-0.451 to 0.0588","Business travel","0",70,35,"Eco",27,"3/27/14","OU","Oursin Airlines Inc.","California","Illinois",23,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","180+ Minutes","1000.0+ MILES","1",-122.1585,37.6712,-87.8954,41.8271,NA
"5859","Boston, MA","Baltimore, MD","Platinum","36-46","Female","1",2009,"<6","0.3768+","Business travel","1",180,90,"Eco",1,"2/1/14","FL","FlyHere Airways","Maryland","Massachusetts",10,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","1",-76.6478,39.2341,-71.1407,42.3731,NA
"5860","Birmingham, AL","Houston, TX","Blue","25-35","Male","1",2010,"13-25","-0.451 to 0.0588","Business travel","0",0,105,"Business",13,"3/13/14","EV","FlyFast Airways Inc.","Texas","Alabama",12,"0-60 Mins","20 MINS TO 60 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-95.3935,29.7843,-86.792,33.4691,NA
"5861","Richmond, VA","Boston, MA","Blue","47-58","Female","1",2003,"13-25","-0.451 to 0.0588","Business travel","0",0,0,"Eco",9,"3/9/14","B6","OnlyJets Airlines Inc.","Massachusetts","Virginia",6,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-71.1407,42.3731,-77.488,37.4779,NA
"5862","Los Angeles, CA","St. Louis, MO","Blue","47-58","Male","2",2010,"13-25","-0.451 to 0.0588","Business travel","0",0,75,"Eco",18,"2/18/14","AA","Paul Smith Airlines Inc.","Missouri","California",18,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","180+ Minutes","1000.0+ MILES","1",-90.3409,38.6307,-118.1043,33.9827,NA
"5863","Minneapolis, MN","Seattle, WA","Blue","47-58","Male","1",2011,"6-12","<-0.75","Business travel","1+",0,60,"Eco Plus",14,"2/14/14","DL","Sigma Airlines Inc.","Washington","Minnesota",13,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","0",-122.2747,47.4684,-93.2798,44.9782,NA
"5864","Chicago, IL","Seattle, WA","Platinum","71+","Male","1",2004,"38+","-0.451 to 0.0588","Personal Travel","0",3,195,"Eco",4,"1/4/14","OU","Oursin Airlines Inc.","Washington","Illinois",8,"0-60 Mins","180+ Minutes","No","180+ Minutes","1000.0+ MILES","0",-122.2747,47.4684,-87.8954,41.8271,NA
"5865","Houston, TX","Austin, TX","Silver","47-58","Female","1",2007,"13-25","<-0.75","Business travel","0",15,30,"Eco Plus",27,"1/27/14","EV","FlyFast Airways Inc.","Texas","Texas",11,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-97.7615,30.3585,-95.3935,29.7843,NA
"5866","Charlotte, NC","Houston, TX","Blue","47-58","Female","1",2012,"13-25","-0.451 to 0.0588","Business travel","1+",135,25,"Eco",27,"2/27/14","WN","Cheapseats Airlines Inc.","Texas","North Carolina",13,"5 MINS TO 10 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-95.3935,29.7843,-80.8158,35.2497,NA
"5867","San Jose, CA","Houston, TX","Silver","36-46","Female","3",2004,"<6","0.3768+","Business travel","1+",0,30,"Eco",11,"2/11/14","OU","Oursin Airlines Inc.","Texas","California",9,"LESS THAN 5 MINS","5 MINS TO 10 MINS","No","180+ Minutes","1000.0+ MILES","0",-95.3935,29.7843,-121.9451,37.3298,NA
"5868","Philadelphia, PA","Tampa, FL","Blue","<24","Female","2",2004,"38+","-0.451 to 0.0588","Mileage tickets","1",10,10,"Eco",28,"2/28/14","US","Southeast Airlines Co.","Florida","Pennsylvania",19,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-82.5132,28.0062,-75.2984,39.9733,NA
"5869","Orlando, FL","Akron, OH","Blue","47-58","Female","2",2012,"<6","0.3768+","Business travel","1",0,10,"Eco",11,"3/11/14","FL","FlyHere Airways","Ohio","Florida",10,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-81.4919,41.0662,-81.4112,28.5844,NA
"5870","Tucson, AZ","Denver, CO","Blue","25-35","Male","1",2005,"<6","0.3768+","Business travel","1+",5,70,"Eco",23,"3/23/14","OO","Northwest Business Airlines Inc.","Colorado","Arizona",16,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-104.9551,39.7108,-110.9461,32.2549,NA
"5871","Las Vegas, NV","Milwaukee, WI","Silver","36-46","Female","1",2003,"6-12","0.059 to 0.3768","Mileage tickets","1",0,70,"Eco",4,"1/4/14","WN","Cheapseats Airlines Inc.","Wisconsin","Nevada",13,"0-60 Mins","60 MINS TO 180 MINS","No","180+ Minutes","1000.0+ MILES","1",-88.1005,43.0557,-115.1672,36.1349,NA
"5872","Denver, CO","Missoula, MT","Blue","71+","Female","2",2003,"13-25","<-0.75","Personal Travel","0",25,50,"Eco",27,"2/27/14","OO","Northwest Business Airlines Inc.","Montana","Colorado",10,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-114.0342,46.874,-104.9551,39.7108,NA
"5873","Orlando, FL","Hartford, CT","Blue","<24","Female","2",2004,"38+","-0.451 to 0.0588","Business travel","1+",0,40,"Eco",2,"2/2/14","WN","Cheapseats Airlines Inc.","Connecticut","Florida",13,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","1",-72.6988,41.7401,-81.4112,28.5844,NA
"5874","Austin, TX","Dallas, TX","Silver","25-35","Female","1",2009,"6-12","0.3768+","Personal Travel","1+",30,30,"Eco",4,"1/4/14","WN","Cheapseats Airlines Inc.","Texas","Texas",14,"20 MINS TO 60 MINS","20 MINS TO 60 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-96.972,32.8127,-97.7615,30.3585,NA
"5875","Miami, FL","New Orleans, LA","Silver","71+","Female","1",2010,"13-25","-0.451 to 0.0588","Personal Travel","0",0,35,"Eco",2,"3/2/14","AA","Paul Smith Airlines Inc.","Louisiana","Florida",15,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-90.1437,29.9547,-80.2314,26.1756,NA
"5876","Chattanooga, TN","Detroit, MI","Silver","47-58","Male","2",2009,"13-25","-0.451 to 0.0588","Business travel","1+",0,45,"Eco",25,"3/25/14","EV","FlyFast Airways Inc.","Michigan","Tennessee",20,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-83.2276,42.49,-85.2104,35.0585,NA
"5877","Indianapolis, IN","Charlotte, NC","Blue","36-46","Female","1",2010,"26-38","-0.451 to 0.0588","Business travel","1+",60,15,"Eco",30,"3/30/14","US","Southeast Airlines Co.","North Carolina","Indiana",9,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-80.8158,35.2497,-86.1455,39.8113,NA
"5878","New York, NY","Chicago, IL","Blue","36-46","Male","2",2006,"13-25","<-0.75","Business travel","1+",0,11,"Eco",20,"1/20/14","AA","Paul Smith Airlines Inc.","Illinois","New York",12,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-87.8954,41.8271,-73.9702,40.7184,NA
"5879","Denver, CO","Spokane, WA","Blue","36-46","Female","1",2003,"6-12","-0.451 to 0.0588","Business travel","1+",0,30,"Eco",31,"1/31/14","WN","Cheapseats Airlines Inc.","Washington","Colorado",13,"10 MINS TO 20 MINS","10 MINS TO 20 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-117.3523,47.6804,-104.9551,39.7108,NA
"5880","Atlanta, GA","Eagle, CO","Blue","25-35","Female","1",2012,"6-12","0.059 to 0.3768","Business travel","1+",0,229,"Eco Plus",14,"1/14/14","DL","Sigma Airlines Inc.","Colorado","Georgia",13,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","0",-106.8263,39.6446,-84.3319,33.8241,NA
"5881","San Juan, PR","New York, NY","Silver","36-46","Female","1",2009,"26-38","<-0.75","Business travel","1",0,95,"Eco",18,"2/18/14","B6","OnlyJets Airlines Inc.","New York","Puerto Rico",18,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","180+ Minutes","1000.0+ MILES","1",-73.9702,40.7184,-66.1162,18.2882,NA
"5882","Fayetteville, NC","Atlanta, GA","Blue","25-35","Male","1",2011,"13-25","0.059 to 0.3768","Business travel","1+",25,80,"Eco",28,"2/28/14","EV","FlyFast Airways Inc.","Georgia","North Carolina",10,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-84.3319,33.8241,-78.9768,35.0526,NA
"5883","Houston, TX","St. Louis, MO","Blue","47-58","Female","2",2008,"26-38","-0.451 to 0.0588","Personal Travel","0",0,50,"Eco",9,"1/9/14","WN","Cheapseats Airlines Inc.","Missouri","Texas",16,"0-60 Mins","60 MINS TO 180 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-90.3409,38.6307,-95.3935,29.7843,NA
"5884","Flint, MI","Atlanta, GA","Blue","25-35","Female","1",2010,"13-25","-0.451 to 0.0588","Business travel","0",18,15,"Eco",17,"2/17/14","DL","Sigma Airlines Inc.","Georgia","Michigan",14,"0-60 Mins","20 MINS TO 60 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-84.3319,33.8241,-83.6947,42.9888,NA
"5885","Phoenix, AZ","Los Angeles, CA","Silver","25-35","Female","1",2005,"<6","0.3768+","Personal Travel","1+",10,35,"Eco",15,"2/15/14","OO","Northwest Business Airlines Inc.","California","Arizona",7,"0-60 Mins","180+ Minutes","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-118.1043,33.9827,-111.97,33.4941,NA
"5886","New York, NY","Rochester, NY","Blue","36-46","Female","1",2008,"6-12","0.3768+","Personal Travel","1+",90,25,"Eco",2,"1/2/14","B6","OnlyJets Airlines Inc.","New York","New York",6,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-77.5682,43.1376,-73.9702,40.7184,NA
"5887","Houston, TX","Dallas, TX","Blue","36-46","Male","1",2011,"<6","0.3768+","Business travel","1+",0,60,"Eco",3,"2/3/14","WN","Cheapseats Airlines Inc.","Texas","Texas",14,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","1",-96.972,32.8127,-95.3935,29.7843,NA
"5888","Denver, CO","Austin, TX","Platinum","57-71","Female","1",2012,"6-12","<-0.75","Business travel","0",30,120,"Eco Plus",13,"2/13/14","F9","GoingNorth Airlines Inc.","Texas","Colorado",19,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-97.7615,30.3585,-104.9551,39.7108,NA
"5889","Orlando, FL","Houston, TX","Gold","25-35","Female","1",2012,"13-25","-0.451 to 0.0588","Business travel","0",98,55,"Eco Plus",22,"3/22/14","OU","Oursin Airlines Inc.","Texas","Florida",10,"5 MINS TO 10 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-95.3935,29.7843,-81.4112,28.5844,NA
"5890","Las Vegas, NV","Oklahoma City, OK","Blue","71+","Female","1",2003,"26-38","-0.451 to 0.0588","Personal Travel","0",0,105,"Eco Plus",3,"3/3/14","WN","Cheapseats Airlines Inc.","Oklahoma","Nevada",16,"20 MINS TO 60 MINS","10 MINS TO 20 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-97.5243,35.5048,-115.1672,36.1349,NA
"5891","Baltimore, MD","Detroit, MI","Blue","71+","Female","1",2004,"13-25","-0.451 to 0.0588","Personal Travel","0",20,55,"Eco",6,"2/6/14","DL","Sigma Airlines Inc.","Michigan","Maryland",12,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-83.2276,42.49,-76.6478,39.2341,NA
"5892","Panama City, FL","Atlanta, GA","Silver","36-46","Male","1",2012,"26-38","-0.451 to 0.0588","Business travel","0",90,60,"Eco",13,"3/13/14","DL","Sigma Airlines Inc.","Georgia","Florida",13,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-84.3319,33.8241,-85.6773,30.1941,NA
"5893","Atlanta, GA","Lafayette, LA","Blue","<24","Female","1",2007,"13-25","-0.451 to 0.0588","Business travel","1",10,20,"Eco Plus",3,"1/3/14","EV","FlyFast Airways Inc.","Louisiana","Georgia",10,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-92.0133,30.1654,-84.3319,33.8241,NA
"5894","Phoenix, AZ","Los Angeles, CA","Blue","<24","Female","1",2008,"26-38","-0.451 to 0.0588","Business travel","1",100,60,"Eco Plus",15,"2/15/14","WN","Cheapseats Airlines Inc.","California","Arizona",18,"20 MINS TO 60 MINS","20 MINS TO 60 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-118.1043,33.9827,-111.97,33.4941,NA
"5895","Chicago, IL","Los Angeles, CA","Blue","47-58","Male","1",2008,"6-12","-0.451 to 0.0588","Business travel","0",0,100,"Eco",6,"1/6/14","AA","Paul Smith Airlines Inc.","California","Illinois",5,"0-60 Mins","180+ Minutes","Yes","60 MINS TO 180 MINS","1000.0+ MILES","0",-118.1043,33.9827,-87.8954,41.8271,NA
"5896","San Diego, CA","Minneapolis, MN","Blue","47-58","Female","1",2006,"6-12","<-0.75","Business travel","0",0,30,"Eco",28,"2/28/14","DL","Sigma Airlines Inc.","Minnesota","California",11,"0-60 Mins","60 MINS TO 180 MINS","No","180+ Minutes","1000.0+ MILES","0",-93.2798,44.9782,-117.1288,32.9287,NA
"5897","Portland, OR","Los Angeles, CA","Blue","25-35","Female","1",2005,"<6","0.3768+","Business travel","1+",143,70,"Eco",7,"2/7/14","AS","FlyToSun Airlines Inc.","California","Oregon",8,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-118.1043,33.9827,-122.6511,45.5204,NA
"5898","Boston, MA","Charlotte, NC","Blue","57-71","Male","1",2004,"38+","-0.451 to 0.0588","Personal Travel","0",0,60,"Eco",18,"2/18/14","US","Southeast Airlines Co.","North Carolina","Massachusetts",22,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-80.8158,35.2497,-71.1407,42.3731,NA
"5899","Tampa, FL","Atlanta, GA","Blue","36-46","Male","1",2011,"38+","-0.451 to 0.0588","Personal Travel","0",0,195,"Eco",12,"2/12/14","DL","Sigma Airlines Inc.","Georgia","Florida",8,"0-60 Mins","180+ Minutes","Yes","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-84.3319,33.8241,-82.5132,28.0062,NA
"5900","Tampa, FL","Washington, DC","Gold","57-71","Female","2",2010,"13-25","<-0.75","Personal Travel","0",15,90,"Eco",27,"1/27/14","OU","Oursin Airlines Inc.","Virginia","Florida",22,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-77.1897,38.8974,-82.5132,28.0062,NA
"5901","Atlanta, GA","San Juan, PR","Gold","57-71","Female","1",2007,"<6","0.059 to 0.3768","Business travel","0",40,60,"Eco",2,"2/2/14","DL","Sigma Airlines Inc.","Puerto Rico","Georgia",15,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","180+ Minutes","1000.0+ MILES","1",-66.1162,18.2882,-84.3319,33.8241,NA
"5902","Boston, MA","Houston, TX","Blue","<24","Female","1",2007,"6-12","<-0.75","Business travel","0",65,85,"Eco",18,"3/18/14","OU","Oursin Airlines Inc.","Texas","Massachusetts",12,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","180+ Minutes","1000.0+ MILES","1",-95.3935,29.7843,-71.1407,42.3731,NA
"5903","Washington, DC","Las Vegas, NV","Gold","25-35","Female","1",2009,"26-38","-0.451 to 0.0588","Business travel","1",20,30,"Eco",12,"3/12/14","OU","Oursin Airlines Inc.","Nevada","Virginia",22,"5 MINS TO 10 MINS","LESS THAN 5 MINS","No","180+ Minutes","1000.0+ MILES","1",-115.1672,36.1349,-77.1897,38.8974,NA
"5904","Chicago, IL","Tampa, FL","Gold","36-46","Male","1",2006,"<6","<-0.75","Business travel","1",0,90,"Eco",6,"3/6/14","OU","Oursin Airlines Inc.","Florida","Illinois",11,"10 MINS TO 20 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","1000.0+ MILES","0",-82.5132,28.0062,-87.8954,41.8271,NA
"5905","Denver, CO","New York, NY","Gold","36-46","Male","1",2012,"6-12","<-0.75","Business travel","1+",0,115,"Eco Plus",17,"2/17/14","WN","Cheapseats Airlines Inc.","New York","Colorado",16,"10 MINS TO 20 MINS","20 MINS TO 60 MINS","No","180+ Minutes","1000.0+ MILES","1",-73.9702,40.7184,-104.9551,39.7108,NA
"5906","Phoenix, AZ","Minneapolis, MN","Blue","71+","Female","1",2009,"38+","-0.451 to 0.0588","Personal Travel","0",0,105,"Eco",30,"1/30/14","US","Southeast Airlines Co.","Minnesota","Arizona",17,"0-60 Mins","60 MINS TO 180 MINS","No","180+ Minutes","1000.0+ MILES","0",-93.2798,44.9782,-111.97,33.4941,NA
"5907","San Francisco, CA","Reno, NV","Gold","47-58","Male","1",2007,"6-12","-0.451 to 0.0588","Business travel","1",0,40,"Eco",10,"1/10/14","OO","Northwest Business Airlines Inc.","Nevada","California",10,"20 MINS TO 60 MINS","20 MINS TO 60 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-119.7959,39.5326,-122.1585,37.6712,NA
"5908","Denver, CO","Durango, CO","Blue","57-71","Female","1",2006,"<6","0.3768+","Business travel","0",0,125,"Eco",6,"1/6/14","OO","Northwest Business Airlines Inc.","Colorado","Colorado",6,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","0",-107.87,37.2891,-104.9551,39.7108,NA
"5909","Houston, TX","Jacksonville, FL","Silver","47-58","Male","1",2003,"<6","0.3768+","Business travel","1+",0,60,"Eco",13,"3/13/14","EV","FlyFast Airways Inc.","Florida","Texas",14,"10 MINS TO 20 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-81.6427,30.2401,-95.3935,29.7843,NA
"5910","Des Moines, IA","Denver, CO","Silver","47-58","Male","2",2003,"26-38","-0.451 to 0.0588","Business travel","0",0,95,"Eco",28,"1/28/14","OU","Oursin Airlines Inc.","Colorado","Iowa",16,"20 MINS TO 60 MINS","20 MINS TO 60 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-104.9551,39.7108,-93.6561,41.6194,NA
"5911","Minneapolis, MN","Chicago, IL","Gold","36-46","Female","1",2005,"<6","0.3768+","Mileage tickets","0",85,110,"Eco Plus",7,"1/7/14","OO","Northwest Business Airlines Inc.","Illinois","Minnesota",12,"LESS THAN 5 MINS","5 MINS TO 10 MINS","No","60 MINS TO 180 MINS","LESS THAN 400 MILES","0",-87.8954,41.8271,-93.2798,44.9782,NA
"5912","Charlotte, NC","Miami, FL","Blue","36-46","Male","2",2003,"26-38","-0.451 to 0.0588","Business travel","0",40,0,"Eco",17,"2/17/14","US","Southeast Airlines Co.","Florida","North Carolina",8,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-80.2314,26.1756,-80.8158,35.2497,NA
"5913","Cleveland, OH","Chicago, IL","Silver","25-35","Male","2",2008,"<6","0.3768+","Business travel","0",10,105,"Eco",13,"3/13/14","WN","Cheapseats Airlines Inc.","Illinois","Ohio",9,"10 MINS TO 20 MINS","10 MINS TO 20 MINS","No","LESS THAN 60 MINS","LESS THAN 400 MILES","1",-87.8954,41.8271,-81.6054,41.4436,NA
"5914","Houston, TX","Atlanta, GA","Gold","36-46","Male","1",2005,"6-12","0.3768+","Business travel","1+",0,40,"Eco",4,"1/4/14","DL","Sigma Airlines Inc.","Georgia","Texas",13,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","1",-84.3319,33.8241,-95.3935,29.7843,NA
"5915","Seattle, WA","Las Vegas, NV","Blue","25-35","Female","1",2011,"13-25","<-0.75","Business travel","1+",80,25,"Business",11,"3/11/14","AS","FlyToSun Airlines Inc.","Nevada","Washington",21,"LESS THAN 5 MINS","LESS THAN 5 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-115.1672,36.1349,-122.2747,47.4684,NA
"5916","El Paso, TX","Dallas, TX","Platinum","47-58","Female","1",2007,"<6","<-0.75","Business travel","0",0,30,"Eco",9,"3/9/14","WN","Cheapseats Airlines Inc.","Texas","Texas",15,"0-60 Mins","60 MINS TO 180 MINS","No","60 MINS TO 180 MINS","400 MILES TO 1000.0 MILES","0",-96.972,32.8127,-106.389,31.7802,NA
